tweet_id,favorites,retweets,timestamp
861769973181624320,0,37911,Tue May 09 02:29:07 +0000 2017
861383897657036800,37744,11528,Mon May 08 00:54:59 +0000 2017
861288531465048066,18032,4479,Sun May 07 18:36:02 +0000 2017
861005113778896900,17538,4119,Sat May 06 23:49:50 +0000 2017
860981674716409858,0,2334,Sat May 06 22:16:42 +0000 2017
860924035999428608,0,882,Sat May 06 18:27:40 +0000 2017
860563773140209665,7878,2334,Fri May 05 18:36:06 +0000 2017
860524505164394496,24678,5698,Fri May 05 16:00:04 +0000 2017
860276583193509888,19154,3745,Thu May 04 23:34:55 +0000 2017
860184849394610176,17474,6295,Thu May 04 17:30:24 +0000 2017
860177593139703809,0,33421,Thu May 04 17:01:34 +0000 2017
859924526012018688,20021,4349,Thu May 04 00:15:58 +0000 2017
859851578198683649,16105,3780,Wed May 03 19:26:06 +0000 2017
859607811541651456,19476,1704,Wed May 03 03:17:27 +0000 2017
859196978902773760,75193,25661,Tue May 02 00:04:57 +0000 2017
859074603037188101,35553,14740,Mon May 01 15:58:40 +0000 2017
858860390427611136,0,8805,Mon May 01 01:47:28 +0000 2017
858843525470990336,16304,3771,Mon May 01 00:40:27 +0000 2017
858471635011153920,22640,5271,Sun Apr 30 00:02:42 +0000 2017
858107933456039936,16524,3154,Fri Apr 28 23:57:28 +0000 2017
857989990357356544,16952,2812,Fri Apr 28 16:08:49 +0000 2017
857746408056729600,36021,11524,Fri Apr 28 00:00:54 +0000 2017
857393404942143489,6236,1785,Thu Apr 27 00:38:11 +0000 2017
857263160327368704,21041,4934,Wed Apr 26 16:00:39 +0000 2017
857214891891077121,242,20,Wed Apr 26 12:48:51 +0000 2017
857062103051644929,0,183,Wed Apr 26 02:41:43 +0000 2017
857029823797047296,19910,4364,Wed Apr 26 00:33:27 +0000 2017
856602993587888130,0,11633,Mon Apr 24 20:17:23 +0000 2017
856543823941562368,17135,3131,Mon Apr 24 16:22:16 +0000 2017
856526610513747968,12446,2068,Mon Apr 24 15:13:52 +0000 2017
856330835276025856,0,731,Mon Apr 24 02:15:55 +0000 2017
856288084350160898,545,17,Sun Apr 23 23:26:03 +0000 2017
856282028240666624,29086,6841,Sun Apr 23 23:01:59 +0000 2017
855862651834028034,320,27,Sat Apr 22 19:15:32 +0000 2017
855860136149123072,4407,1058,Sat Apr 22 19:05:32 +0000 2017
855857698524602368,12498,2313,Sat Apr 22 18:55:51 +0000 2017
855851453814013952,47844,19196,Sat Apr 22 18:31:02 +0000 2017
855818117272018944,28056,5943,Sat Apr 22 16:18:34 +0000 2017
855459453768019968,31657,8987,Fri Apr 21 16:33:22 +0000 2017
855245323840757760,0,6568,Fri Apr 21 02:22:29 +0000 2017
855138241867124737,0,50,Thu Apr 20 19:16:59 +0000 2017
